Data,BG000,GM000,GM001,PN000,PS001,PS000,BD000,BD002,BD003,BD005,BD007,BD009,BD010,JT000,PP010,GV001,GV002,VD000,LB000,LB001,LB003,IP003,IP010,IP006,AR000,PD000,CP100,CP004,CP005,CP008,LM002,VR000,UR000,BT000,BT001,FL000,FL004
2006-02-20,30,23,,30,30,23,500,3000,5000,30,50,30,50,,23,30,,30,300,,500,50,30,23,23,23,30,130,50,230,230,23,8000,1600000,,,230
2006-02-23,80,23,,23,23,23,23,50,30,23,80,230,8000,,800,3000,,130,50,,30,30,23,30,23,30,50,80,130,800,80,23,230,130000,,,500
2006-03-02,500,23,,30,80,80,23,23,23,80,30,500,80,,9000,3000,,23,9000,,3000,30,50,30,50,50,23,30,50,30,23,23,500,1600000,,,5000
2006-03-06,50,30,,23,230,50,23,23,23,23,23,500,2300,,16000,9000,,130,16000,,16000,23,23,23,300,80,80,80,30,80,50,50,2300,80000,,,1300
2006-03-09,170,110,,23,3000,30,30,23,23,1300,23,130,230,,50,170,,30,23,,30,30,500,110,30,23,30,23,23,80,23,23,800,50000,,,500
2006-03-13,300,23,,23,9000,80,30,23,23,23,23,300,5000,,500,130,,80,800,,800,500,300,800,50,230,230,130,130,130,50,80,2300,900000,,,3000
2006-03-16,130,23,,23,80,23,30,23,23,23,80,300,500,,3000,16000,,500,9000,,2400,3000,300,130,30,130,5000,230,130,80,800,23,2300,1600000,,,5000
2006-03-20,130,23,,50,23,30,23,23,23,23,130,500,3000,,800,3000,,3000,800,,300,30,23,23,30,23,23,300,230,230,800,230,30,500000,,,2300
2006-03-23,230,23,,23,23,23,23,23,23,23,23,500,1300,,50,800,,80,230,,130,50,80,80,50,23,800,30,130,300,16000,23,800,1600000,,,500
2006-03-27,5000,30,,23,80,2400,23,50,23,23,23,23,50,,2400,2400,,2400,3000,,9000,5000,5000,5000,5000,130,300,800,500,800,800,800,13000,1600000,,,24000
2006-03-30,300,23,,23,30,30,23,23,230,300,1300,50,300,,50,50,,30,500,,2400,800,800,500,300,23,300,23,23,30,300,30,500,1600000,,,5000
2006-04-03,70,23,,30,23,23,23,23,23,50,130,30,2200,,50,3000,,50,23,,23,23,23,23,30,23,300,30,23,23,30,23,50,1600000,,,50
2006-04-10,2400,30,,30,50,23,23,23,23,23,300,800,3000,,500,23,,110,500,,5000,50,23,23,23,30,80,23,50,30,2400,110,300,1600000,,,1300
2006-04-19,130,23,,23,23,30,23,23,23,23,23,30,1300,,23,50,,300,9000,,500,500,500,300,170,800,80,80,50,50,230,23,3000,1600000,,,300
2006-04-27,30,23,,23,230,300,23,30,23,23,23,23,3000,,230,300,,230,1300,,800,500,500,800,230,300,80,230,800,50,30,16000,23,1600000,,,300
